Chi-squared,1.51511091,,,,,,,
Parameter,Value,Error,,,,,,
bg_a,32.70477083,3.95880628,,,,,,
bg_b,4.455616031,2.540830238,,,,,,
bg_c,-2.025033404,0.380361539,,,,,,
center_1,-0.002353106,0.004383311,,,,,,
area_1,165.9053934,5.243913948,,,,,,
FWHM_1,0.310397603,0.009969523,,,,,,
center_2,0.416494821,0.024300822,,,,,,
area_2,17.07873501,3.177434235,,,,,,
FWHM_2,0.278587676,0.051204291,,,,,,
center_3,1.015944692,0.021233864,,,,,,
area_3,8.180222698,1.811353947,,,,,,
FWHM_3,0.240844359,0.052340195,,,,,,
,,,,,,,,
x_data,y_data,yerr_data,x_fit,y_fit,y_bg,gaussian_1,gaussian_2,gaussian_3
,,,0.551192661,64.74180871,34.54544151,0.07435792,30.12096175,0.001047531
,,,0.556146789,63.31454454,34.55640607,0.063456223,28.69337834,0.001303912
,,,0.561100917,61.90853266,34.56727123,0.054076396,27.2855658,0.001619237
,,,0.566055046,60.52742727,34.57803698,0.046018004,25.90136618,0.002006104
,,,0.571009174,59.17459702,34.58870333,0.039105184,24.54430893,0.002479578
,,,0.575963303,57.85311444,34.59927028,0.0331839,23.21760264,0.003057617
,,,0.580917431,56.56574887,34.60973783,0.028119464,21.92413,0.003761572
,,,0.58587156,55.31496278,34.62010598,0.023794313,20.66644573,0.004616754
,,,0.590825688,54.10291126,34.63037472,0.020106007,19.44677745,0.005653079
,,,0.595779817,52.9314446,34.64054406,0.016965435,18.26702929,0.006905807
,,,0.600733945,51.80211362,34.650614,0.014295216,17.12878804,0.008416371
,,,0.605688073,50.71617768,34.66058453,0.012028264,16.03333157,0.010233315
,,,0.610642202,49.674615,34.67045567,0.010106521,14.98163946,0.012413345
,,,0.61559633,48.67813513,34.6802274,0.008479827,13.9744054,0.015022504
,,,0.620550459,47.72719331,34.68989973,0.007104913,13.01205119,0.018137478
,,,0.625504587,46.82200646,34.69947265,0.005944524,12.09474225,0.021847033
,,,0.630458716,45.96257046,34.70894618,0.004966632,11.22240404,0.026253612
,,,0.635412844,45.14867867,34.7183203,0.004143748,10.39473956,0.03147507
,,,0.640366972,44.37994123,34.72759502,0.003452322,9.611247327,0.037646566
,,,0.645321101,43.65580504,34.73677034,0.002872206,8.871239878,0.044922619
,,,0.650275229,42.97557414,34.74584625,0.002386199,8.173862375,0.053479309
,,,0.655229358,42.3384303,34.75482276,0.00197963,7.518111259,0.063516645
,,,0.660183486,41.74345363,34.76369987,0.001640016,6.902852677,0.075261061
,,,0.665137615,41.18964295,34.77247758,0.001356746,6.326840553,0.088968066
,,,0.670091743,40.67593584,34.78115589,0.001120819,5.788734132,0.104925005
,,,0.675045872,40.20122819,34.78973479,0.000924611,5.28711487,0.123453917
,,,0.68,39.764393,34.79821429,0.000761674,4.820502559,0.144914479
,,,0.684954128,39.36429851,34.80659439,0.000626565,4.387370575,0.169706985
,,,0.689908257,38.9998253,34.81487508,0.000514694,3.98616019,0.198275332
,,,0.694862385,38.66988243,34.82305638,0.0004222,3.615293877,0.231109971
